"","date_time","vwc10cm","vwc20","vwc35","vwc50"
"315","05.07.2010 16:00",0.269,0.341,0.335,0.27
"316","05.07.2010 17:00",0.269,0.341,0.336,0.268
"317","05.07.2010 18:00",0.269,0.341,0.335,0.267
"318","05.07.2010 19:00",0.269,0.341,0.335,0.265
"319","05.07.2010 20:00",0.268,0.341,0.335,0.265
"320","05.07.2010 21:00",0.268,0.341,0.335,0.263
"321","05.07.2010 22:00",0.268,0.341,0.335,0.262
"322","05.07.2010 23:00",0.268,0.341,0.335,0.261
"323","06.07.2010 00:00",0.268,0.341,0.335,0.261
"324","06.07.2010 01:00",0.267,0.341,0.334,0.261
"325","06.07.2010 02:00",0.268,0.341,0.335,0.261
"326","06.07.2010 03:00",0.267,0.341,0.335,0.261
"327","06.07.2010 04:00",0.268,0.341,0.334,0.26
"328","06.07.2010 05:00",0.267,0.341,0.334,0.26
"329","06.07.2010 06:00",0.267,0.341,0.334,0.26
"330","06.07.2010 07:00",0.267,0.341,0.333,0.259
"331","06.07.2010 08:00",0.268,0.341,0.333,0.259
"332","06.07.2010 09:00",0.267,0.34,0.333,0.259
"333","06.07.2010 10:00",0.267,0.341,0.332,0.258
"334","06.07.2010 11:00",0.269,0.344,0.331,0.257
"335","06.07.2010 12:00",0.269,0.344,0.331,0.256
"336","06.07.2010 13:00",0.268,0.343,0.331,0.257
"337","06.07.2010 14:00",0.269,0.343,0.331,0.256
"338","06.07.2010 15:00",0.269,0.343,0.331,0.255
"339","06.07.2010 16:00",0.269,0.343,0.331,0.255
"340","06.07.2010 17:00",0.275,0.344,0.332,0.259
"341","06.07.2010 18:00",0.368,0.374,0.351,0.361
"342","06.07.2010 19:00",0.365,0.377,0.347,0.362
"343","06.07.2010 20:00",0.351,0.375,0.348,0.358
"344","06.07.2010 21:00",0.338,0.371,0.348,0.357
"345","06.07.2010 22:00",0.315,0.368,0.347,0.355
"346","06.07.2010 23:00",0.307,0.368,0.347,0.353
"347","07.07.2010 00:00",0.303,0.367,0.346,0.352
"348","07.07.2010 01:00",0.3,0.367,0.345,0.351
"349","07.07.2010 02:00",0.296,0.366,0.345,0.35
"350","07.07.2010 03:00",0.295,0.366,0.344,0.344
"351","07.07.2010 04:00",0.293,0.366,0.343,0.34
"352","07.07.2010 05:00",0.292,0.365,0.343,0.338
"353","07.07.2010 06:00",0.291,0.365,0.343,0.337
"354","07.07.2010 07:00",0.29,0.365,0.343,0.335
"355","07.07.2010 08:00",0.289,0.36,0.342,0.334
"356","07.07.2010 09:00",0.288,0.356,0.342,0.334
"357","07.07.2010 10:00",0.287,0.355,0.341,0.332
"358","07.07.2010 11:00",0.287,0.355,0.341,0.331
"359","07.07.2010 12:00",0.286,0.355,0.34,0.33
"360","07.07.2010 13:00",0.286,0.356,0.34,0.33
"361","07.07.2010 14:00",0.285,0.356,0.34,0.328
"362","07.07.2010 15:00",0.284,0.357,0.34,0.327
"363","07.07.2010 16:00",0.284,0.357,0.34,0.325
"364","07.07.2010 17:00",0.284,0.356,0.339,0.324
"365","07.07.2010 18:00",0.283,0.356,0.339,0.322
"366","07.07.2010 19:00",0.283,0.356,0.34,0.32
"367","07.07.2010 20:00",0.282,0.357,0.34,0.32
"368","07.07.2010 21:00",0.282,0.356,0.339,0.318
"369","07.07.2010 22:00",0.281,0.356,0.34,0.317
"370","07.07.2010 23:00",0.279,0.356,0.339,0.316
"371","08.07.2010 00:00",0.279,0.356,0.34,0.315
"372","08.07.2010 01:00",0.279,0.356,0.339,0.314
"373","08.07.2010 02:00",0.279,0.356,0.339,0.313
"374","08.07.2010 03:00",0.279,0.356,0.339,0.313
"375","08.07.2010 04:00",0.278,0.355,0.339,0.313
"376","08.07.2010 05:00",0.278,0.356,0.338,0.312
"377","08.07.2010 06:00",0.278,0.356,0.338,0.311
"378","08.07.2010 07:00",0.277,0.356,0.338,0.31
"379","08.07.2010 08:00",0.277,0.356,0.338,0.31
"380","08.07.2010 09:00",0.277,0.356,0.338,0.31
"381","08.07.2010 10:00",0.277,0.356,0.337,0.309
"382","08.07.2010 11:00",0.277,0.355,0.337,0.308
"383","08.07.2010 12:00",0.276,0.355,0.336,0.307
"384","08.07.2010 13:00",0.276,0.355,0.337,0.307
"385","08.07.2010 14:00",0.276,0.355,0.336,0.306
"386","08.07.2010 15:00",0.276,0.354,0.336,0.304
"387","08.07.2010 16:00",0.275,0.355,0.336,0.303
"388","08.07.2010 17:00",0.275,0.354,0.336,0.301
"389","08.07.2010 18:00",0.275,0.355,0.336,0.299
"390","08.07.2010 19:00",0.275,0.354,0.336,0.298
"391","08.07.2010 20:00",0.275,0.355,0.336,0.296
"392","08.07.2010 21:00",0.275,0.354,0.336,0.295
"393","08.07.2010 22:00",0.274,0.354,0.336,0.293
"394","08.07.2010 23:00",0.274,0.354,0.336,0.292
"395","09.07.2010 00:00",0.274,0.354,0.336,0.292
"396","09.07.2010 01:00",0.274,0.354,0.335,0.291
"397","09.07.2010 02:00",0.274,0.354,0.335,0.29
"398","09.07.2010 03:00",0.273,0.353,0.335,0.29
"399","09.07.2010 04:00",0.273,0.353,0.335,0.29
"400","09.07.2010 05:00",0.274,0.353,0.335,0.289
"401","09.07.2010 06:00",0.273,0.353,0.334,0.288
"402","09.07.2010 07:00",0.273,0.353,0.334,0.287
"403","09.07.2010 08:00",0.273,0.353,0.334,0.287
"404","09.07.2010 09:00",0.272,0.353,0.333,0.287
"405","09.07.2010 10:00",0.272,0.352,0.333,0.286
"406","09.07.2010 11:00",0.272,0.352,0.333,0.285
"407","09.07.2010 12:00",0.272,0.352,0.333,0.284
"408","09.07.2010 13:00",0.272,0.352,0.333,0.283
"409","09.07.2010 14:00",0.272,0.352,0.332,0.282
"410","09.07.2010 15:00",0.272,0.352,0.332,0.28
"411","09.07.2010 16:00",0.271,0.352,0.332,0.279
"412","09.07.2010 17:00",0.271,0.352,0.332,0.278
"413","09.07.2010 18:00",0.271,0.351,0.331,0.276
"414","09.07.2010 19:00",0.271,0.351,0.331,0.275
"415","09.07.2010 20:00",0.271,0.351,0.331,0.273
"416","09.07.2010 21:00",0.27,0.351,0.331,0.273
"417","09.07.2010 22:00",0.27,0.351,0.331,0.272
"418","09.07.2010 23:00",0.27,0.351,0.331,0.271
"419","10.07.2010 00:00",0.27,0.351,0.331,0.271
"420","10.07.2010 01:00",0.27,0.35,0.331,0.271
"421","10.07.2010 02:00",0.27,0.35,0.331,0.271
"422","10.07.2010 03:00",0.269,0.351,0.331,0.271
"423","10.07.2010 04:00",0.27,0.35,0.33,0.271
"424","10.07.2010 05:00",0.269,0.35,0.33,0.27
"425","10.07.2010 06:00",0.27,0.35,0.33,0.27
"426","10.07.2010 07:00",0.269,0.35,0.329,0.269
"427","10.07.2010 08:00",0.269,0.35,0.329,0.269
"428","10.07.2010 09:00",0.269,0.35,0.329,0.269
"429","10.07.2010 10:00",0.269,0.349,0.329,0.268
"430","10.07.2010 11:00",0.269,0.349,0.329,0.269
"431","10.07.2010 12:00",0.269,0.35,0.328,0.268
"432","10.07.2010 13:00",0.269,0.349,0.328,0.268
"433","10.07.2010 14:00",0.269,0.349,0.327,0.268
"434","10.07.2010 15:00",0.269,0.349,0.327,0.268
"435","10.07.2010 16:00",0.269,0.349,0.327,0.267
"436","10.07.2010 17:00",0.269,0.349,0.326,0.267
"437","10.07.2010 18:00",0.269,0.349,0.326,0.266
"438","10.07.2010 19:00",0.269,0.349,0.326,0.266
"439","10.07.2010 20:00",0.269,0.349,0.326,0.266
"440","10.07.2010 21:00",0.269,0.349,0.326,0.265
"441","10.07.2010 22:00",0.269,0.348,0.326,0.265
"442","10.07.2010 23:00",0.268,0.348,0.326,0.264
"443","11.07.2010 00:00",0.268,0.349,0.325,0.264
"444","11.07.2010 01:00",0.268,0.348,0.326,0.264
"445","11.07.2010 02:00",0.268,0.349,0.325,0.263
"446","11.07.2010 03:00",0.268,0.349,0.325,0.263
"447","11.07.2010 04:00",0.268,0.348,0.325,0.262
"448","11.07.2010 05:00",0.268,0.349,0.324,0.262
"449","11.07.2010 06:00",0.268,0.348,0.324,0.261
"450","11.07.2010 07:00",0.267,0.348,0.324,0.26
"451","11.07.2010 08:00",0.268,0.348,0.323,0.259
"452","11.07.2010 09:00",0.268,0.348,0.322,0.259
"453","11.07.2010 10:00",0.268,0.348,0.322,0.259
"454","11.07.2010 11:00",0.267,0.348,0.321,0.258
"455","11.07.2010 12:00",0.267,0.347,0.321,0.259
"456","11.07.2010 13:00",0.267,0.347,0.32,0.259
"457","11.07.2010 14:00",0.267,0.347,0.32,0.259
"458","11.07.2010 15:00",0.267,0.347,0.319,0.259
"459","11.07.2010 16:00",0.267,0.347,0.319,0.258
"460","11.07.2010 17:00",0.267,0.347,0.319,0.258
"461","11.07.2010 18:00",0.267,0.346,0.319,0.258
